Mx,My,Mz,Dx,Dy,Dz,Entrenamiento
-0.0304,-0.09071,10.3416,0.01983,0.01778,0.02603,Quieto
-0.03481,-0.07992,10.33964,0.0233,0.01528,0.02242,Quieto
-0.03285,-0.09071,10.34308,0.01789,0.01958,0.01784,Quieto
-0.0304,-0.08826,10.33376,0.02517,0.01986,0.02007,Quieto
-0.03285,-0.0863,10.33964,0.01464,0.01951,0.03387,Quieto
-0.04119,-0.09071,10.33719,0.01629,0.01695,0.01909,Quieto
-0.03825,-0.08924,10.34749,0.01983,0.01909,0.02177,Quieto
-0.03383,-0.0863,10.33425,0.02068,0.0185,0.02434,Quieto
-0.03187,-0.08434,10.33523,0.01577,0.01897,0.01724,Quieto
-0.03236,-0.08875,10.3367,0.02364,0.02114,0.02225,Quieto
-0.03727,-0.09365,10.33719,0.01798,0.02045,0.02806,Quieto
-0.03187,-0.09463,10.34651,0.01383,0.01362,0.02181,Quieto
-0.02648,-0.09218,10.32787,0.01644,0.02112,0.01842,Quieto
-0.03236,-0.09267,10.3318,0.02173,0.02091,0.02471,Quieto
-0.0353,-0.09512,10.33964,0.01563,0.02195,0.0293,Quieto
-0.03089,-0.09071,10.3367,0.01649,0.02007,0.02392,Quieto
-0.02746,-0.0863,10.33768,0.01824,0.01474,0.01992,Quieto
-0.03628,-0.08777,10.34356,0.01614,0.02289,0.01983,Quieto
-0.02844,-0.08041,10.33523,0.01724,0.02071,0.02611,Quieto
-0.04315,-0.08826,10.34602,0.02266,0.02126,0.02774,Quieto
-0.03923,-0.09071,10.33817,0.01754,0.01805,0.02249,Quieto
-0.03727,-0.09169,10.33915,0.01441,0.01789,0.02687,Quieto
-0.03089,-0.0863,10.34406,0.01559,0.01976,0.01876,Quieto
-0.03236,-0.08973,10.33915,0.01424,0.01943,0.0281,Quieto
-0.03579,-0.08826,10.33621,0.02087,0.02557,0.02034,Quieto
-0.0304,-0.09316,10.33523,0.02169,0.02268,0.02648,Quieto
-0.02648,-0.09218,10.34258,0.02106,0.0133,0.02847,Quieto
3.0734,8.952,0.86985,2.34881,4.50007,2.93996,Andar
3.37349,8.01497,1.10766,2.05945,4.52478,3.3291,Andar
4.24285,9.70662,-0.02746,3.03727,4.45971,2.64078,Andar
3.73388,8.7951,0.73158,2.71817,5.41851,2.44417,Andar
4.42623,9.40605,0.79875,2.97658,5.05368,2.70748,Andar
4.38259,6.99754,0.46238,2.13394,4.99079,2.83662,Andar
4.22618,7.43246,0.47072,2.44716,4.31013,2.68922,Andar
4.28207,8.6323,0.39129,2.75678,4.89901,1.62308,Andar
4.41397,8.73233,0.51289,2.89868,4.74877,1.86422,Andar
4.3718,9.20845,0.30989,2.55041,4.92374,2.54052,Andar
4.54342,8.29839,0.43247,2.80571,5.72736,2.57205,Andar
5.26127,8.93043,0.25399,3.23612,6.21555,2.91011,Andar
4.57971,8.33124,1.10472,2.61019,3.46408,2.93206,Andar
4.92833,9.78311,0.00392,1.3108,4.18947,1.57056,Andar
3.9967,9.2261,0.3295,2.68941,6.0318,3.24734,Andar
4.50321,7.95123,0.19368,2.40955,4.62328,2.92443,Andar
4.53263,8.8,0.58301,2.59092,5.26455,3.15609,Andar
5.58636,9.50706,0.75511,2.91285,4.41968,2.73975,Andar
3.97267,8.83236,-0.2839,2.5614,4.97397,3.07118,Andar
3.99082,7.79678,0.5173,2.52056,4.05744,2.65612,Andar
5.18478,9.12018,0.61733,2.55715,4.33967,2.43422,Andar
4.97786,8.52247,0.41237,2.08771,4.41263,2.18183,Andar
4.4581,9.57325,0.55457,2.29868,4.56484,3.11094,Andar
4.78466,8.48079,0.08924,2.59107,4.56272,1.69815,Andar
5.14506,8.95151,0.77816,2.24148,5.22458,3.17165,Andar
4.60177,9.66102,-0.97625,2.7925,4.14278,2.9983,Andar
4.16439,8.46461,1.44795,2.7434,4.72094,3.12642,Andar
4.09084,7.87474,0.58006,2.28195,4.49558,2.2662,Andar
4.44094,8.77401,0.34519,2.91652,4.77224,2.80164,Andar
5.39268,9.01133,0.58448,2.8015,2.94484,2.39123,Andar
3.78684,9.09714,1.01058,2.32574,4.69944,3.85482,Andar
5.01414,9.05301,0.94242,1.92547,4.97474,2.80259,Andar
4.34925,7.61781,-0.076,2.59937,3.66876,2.05459,Andar
4.54342,9.06085,1.08265,2.61658,4.83923,3.23588,Andar
4.56156,8.14099,1.24741,2.29735,4.93323,2.85189,Andar
4.36445,8.48324,0.71687,2.23602,4.99734,2.78426,Andar
4.4277,8.47344,0.09709,2.75452,4.82159,2.37393,Andar
4.44388,7.92083,0.77571,2.42874,4.12256,3.21419,Andar
3.83391,9.00201,0.76835,3.09429,4.59756,3.00475,Andar
3.99474,7.71146,0.35206,2.38456,3.94251,2.77312,Andar
4.43457,8.95886,0.70412,3.06326,4.76429,2.91681,Andar
4.98766,8.57494,0.87328,2.73552,5.40679,2.14163,Andar
4.90185,9.96552,0.07355,2.51922,3.40046,3.30967,Andar
4.89646,9.3222,1.56171,2.4194,4.90782,3.05141,Andar
3.322,6.87691,1.13855,2.03227,4.09128,2.857,Andar
5.33776,10.42986,0.12454,2.65292,4.15757,3.40559,Andar
4.20607,7.93946,1.25476,2.24845,5.42958,2.63937,Andar
4.48213,10.53774,0.5884,2.35821,4.61124,2.3785,Andar
4.52871,7.65801,0.90957,2.133,4.05557,2.46139,Andar
5.0872,9.08047,0.81297,2.06099,4.52906,2.86083,Andar
4.40613,8.11353,0.97429,2.52407,3.61452,3.29708,Andar
4.99502,8.32535,-0.1878,2.11421,4.05736,1.7921,Andar
4.18057,9.76939,1.9275,2.46871,5.44762,3.37418,Andar
4.93324,6.44885,1.50973,1.9513,1.8821,2.10492,Andar
4.63119,9.44871,1.35087,1.9605,3.75757,3.33588,Andar
4.56107,7.24417,1.55583,2.02975,5.42817,2.61256,Andar
4.5194,9.20894,1.39892,2.33842,4.66576,2.85555,Andar
4.57578,8.41509,0.19564,2.45167,4.02295,2.48557,Andar
4.6204,9.05154,0.74972,2.63614,4.56906,3.07506,Andar
0.52073,9.04664,0.76835,6.19098,8.71032,4.04027,Correr
1.83041,8.91424,-1.42393,8.62615,8.91607,3.52088,Correr
-2.01772,7.7502,-0.57173,8.83744,8.81387,2.92949,Correr
1.28663,7.50405,-1.24692,8.26728,9.08638,2.58436,Correr
-1.16944,9.10499,-1.02332,8.40207,9.33674,2.33678,Correr
-1.1871,7.00293,-0.42561,8.06507,9.8397,4.53503,Correr
0.21967,8.91572,-1.87307,9.1456,8.9351,3.99544,Correr
-2.44627,9.05693,-0.48788,8.83062,8.41509,4.13217,Correr
0.94095,9.03192,-0.9939,8.64782,9.06012,3.24001,Correr
-0.38442,8.69654,-1.81129,8.71194,7.70863,4.82248,Correr
1.95643,8.24985,-2.63309,9.55164,8.86486,3.50455,Correr
1.23858,8.09049,-2.87531,10.31137,8.95212,4.24387,Correr
2.18492,9.22757,-1.77206,9.53457,11.13324,4.25006,Correr
2.11137,8.35772,-2.60661,6.50288,9.15353,4.46095,Correr
0.97625,8.92454,-2.62132,8.19842,8.16836,5.31125,Correr
1.8971,8.35527,-2.39086,8.93218,11.12906,4.77393,Correr
1.90837,8.0998,-3.36417,9.33318,10.59591,5.46044,Correr
1.46855,8.84217,-3.3274,9.90448,8.23972,5.51434,Correr
2.54041,8.24788,-3.87019,9.38433,9.86665,5.8956,Correr
0.87868,8.8103,-4.22569,9.22705,8.58467,5.75037,Correr
0.93065,9.02163,-5.04944,9.15484,10.03277,6.01046,Correr
1.97849,10.2759,-3.65494,9.19666,7.88738,5.75255,Correr
2.23494,8.36017,-2.85717,8.75567,10.06208,5.85144,Correr
2.39576,8.36164,-3.34652,8.96814,9.74281,5.64391,Correr
0.80316,8.95641,-3.02829,8.26427,8.24835,5.24046,Correr
1.88729,9.5203,-3.29602,8.87574,9.57097,5.50485,Correr
1.77108,8.39008,-4.34729,8.89165,10.33458,6.39507,Correr
3.18765,8.12971,-4.19529,9.44455,11.20894,5.38607,Correr
0.86838,7.00489,-3.50833,8.79583,9.65321,5.60726,Correr
1.52346,8.75292,-4.41937,9.73214,9.70938,6.633,Correr
1.95986,8.50188,-2.76548,9.37592,9.9612,5.61189,Correr
1.74902,8.85246,-2.72968,9.53795,8.60056,6.23592,Correr
1.11158,8.90248,-3.37888,8.99574,8.52426,5.87701,Correr
2.82334,10.32003,-3.2053,9.45316,8.41538,6.09842,Correr
2.67869,7.46286,-4.4581,9.42441,11.1534,6.96819,Correr
0.73109,7.54475,-4.27423,10.86815,9.81798,6.96336,Correr
2.56934,10.65394,-4.9553,10.089,8.55785,5.17768,Correr
1.26015,7.96153,-4.86753,8.7025,11.16921,6.18745,Correr
-0.37756,7.50797,-3.01947,10.5825,9.53906,4.6646,Correr
1.94809,11.18841,-3.08321,8.68377,7.82144,5.50774,Correr
-0.15789,10.35975,1.29595,3.07281,2.82938,1.17793,Andar
0.30597,9.73997,0.28047,1.69379,2.87793,0.74863,Andar
-0.81787,9.99494,0.66489,1.9,2.83818,0.85372,Andar
-0.37609,11.26343,1.06059,1.71834,3.51519,0.90004,Andar
0.22359,9.39183,0.64773,1.24707,2.92607,0.93396,Andar
0.15298,11.0212,0.75413,1.5615,2.7522,0.87124,Andar
-0.93212,9.83558,0.9179,1.52237,2.79573,0.85694,Andar
-0.16475,9.76546,0.39227,1.84586,2.97362,0.87767,Andar
0.01765,10.40044,0.50455,1.28932,2.70272,0.67168,Andar
-0.78747,9.45214,0.60066,1.73082,2.7586,0.93117,Andar
0.64822,10.29845,0.62125,2.02553,2.72834,1.02472,Andar
0.49131,9.99003,0.56241,1.51445,2.50987,1.01849,Andar
-0.39227,10.32689,1.03166,1.77667,2.85022,0.97041,Andar
-0.19858,9.51736,0.55064,1.69574,2.67663,0.98172,Andar
-0.19221,11.63167,0.76541,2.13304,2.44841,1.07072,Andar
-0.43836,10.19156,0.4918,1.58502,2.63093,1.0441,Andar
-1.12237,9.85078,0.60703,2.37121,2.80291,2.20143,Andar
-0.52613,10.64463,-0.13288,2.42079,3.16045,1.55214,Andar
-1.22191,11.03101,0.41874,2.04279,3.59718,2.37686,Andar
-1.44403,8.91376,-0.03236,1.9981,2.89905,1.70674,Andar
-0.19466,10.2911,0.6036,1.91339,2.68898,2.01873,Andar
0.02991,10.75741,1.17778,2.44353,3.71392,2.45021,Andar
-0.68647,9.32122,0.88995,1.86892,2.44263,1.59518,Andar
-0.36187,9.98562,0.23928,1.80535,3.22847,1.77384,Andar
-0.14857,10.0273,0.79483,2.15172,2.21685,2.92695,Andar
-0.11131,10.4485,0.30204,2.35341,3.04873,2.03706,Andar
0.31038,10.093,0.2128,2.68303,3.2881,2.14776,Andar
0.14269,10.8996,0.57222,2.02027,2.94368,2.074,Andar
-0.19221,9.88461,0.38736,2.15847,2.40704,2.36578,Andar
0.37167,10.32689,0.32117,1.86867,2.33709,1.44367,Andar
-0.22163,10.47595,0.43198,2.20291,2.03124,1.54006,Andar
-0.8164,9.6571,0.14073,2.49683,3.086,2.10317,Andar
0.15053,9.76791,0.27262,2.83158,3.15167,2.23766,Andar
0.04511,10.14547,0.54035,2.99736,3.50073,2.36408,Andar
0.41825,10.70739,0.88015,2.41739,2.75829,2.16277,Andar
-0.57663,9.72378,-0.0505,2.2434,2.88606,2.35228,Andar
0.2432,10.16852,0.26282,1.92295,3.45603,1.94116,Andar
0.50406,10.30728,0.5732,2.06052,2.73186,2.23727,Andar
-0.27802,9.29719,0.96988,2.27485,3.02707,1.5456,Andar
0.1368,10.45144,0.73011,2.01367,3.51607,2.25286,Andar
-0.2638,9.39575,0.46091,2.60875,2.61099,2.0185,Andar
-0.3702,9.65318,-0.20153,1.61696,2.71023,1.66421,Andar
-0.31185,10.69072,0.61292,2.06459,3.24199,1.70841,Andar
-0.05247,10.80301,0.48347,1.82729,1.96928,1.83422,Andar
-2.6983,-9.46565,0.5115,1.74017,3.80608,2.34337,Andar
-3.41665,-7.80485,0.1551,2.04228,4.58775,2.28214,Andar
-4.22695,-9.63805,-0.3008,2.30542,4.80539,2.73352,Andar
-4.27855,-9.3928,-0.7029,2.14961,4.90244,1.8499,Andar
-4.12535,-9.1055,-1.6147,2.13884,5.05116,3.77025,Andar
-4.8685,-9.47895,-0.2356,2.73838,4.85942,3.49522,Andar
-5.22485,-7.64015,0.37155,3.09177,4.0863,3.00143,Andar
-5.52355,-8.77605,0.2067,3.19442,6.36689,1.73111,Andar
-5.07345,-8.67465,-0.46345,2.80779,6.04638,2.9045,Andar
-4.8168,-7.0484,0.7738,3.03484,4.5886,3.20197,Andar
-5.5332,-8.60365,-0.8752,3.33579,4.59728,3.56417,Andar
-5.311,-6.94105,0.9192,2.76356,4.76472,2.74248,Andar
-5.52555,-8.26655,-0.1535,2.66901,5.0883,2.61227,Andar
-5.5007,-7.8279,0.0364,2.62116,4.65762,2.27882,Andar
-5.7688,-8.3393,-0.0173,2.7846,4.19493,2.68593,Andar
-6.27635,-8.3105,0.44805,2.52905,4.29474,3.09374,Andar
-5.0754,-7.47345,0.1397,2.41795,4.64704,3.29275,Andar
-5.9143,-7.3453,-0.201,2.22239,4.7139,2.11169,Andar
-5.8185,-7.57135,0.0039,2.36605,4.8177,2.38866,Andar
-5.89515,-6.42595,1.21415,2.80963,4.68301,3.22512,Andar
-6.05415,-7.6899,0.08245,2.61834,4.49281,2.8698,Andar
-6.08875,-7.1499,0.31985,2.60666,4.36627,2.80897,Andar
-6.05605,-7.5903,0.5324,2.81029,3.84653,3.58416,Andar
-5.6615,-7.5885,0.45965,2.40496,4.68111,3.04612,Andar
-6.19585,-7.63825,-0.47695,3.13731,4.37285,2.524,Andar
-5.99675,-6.77245,-0.0249,3.10577,3.9935,2.93583,Andar
-6.60015,-7.3681,-0.03255,2.91588,4.89868,2.89236,Andar
-6.64995,-8.62675,1.467,2.70712,5.7051,2.67454,Andar
-6.20935,-7.29925,-0.4442,2.47216,4.14852,2.39351,Andar
-6.6212,-7.7053,-0.7872,2.44138,4.46798,2.28722,Andar
-7.04065,-8.7625,-0.1801,2.70295,4.65119,3.39779,Andar
-4.9871,-8.8507,-1.02845,1.65356,3.96914,2.47593,Andar
-6.5139,-8.10185,-0.1073,3.27389,5.16892,2.74628,Andar
-6.4948,-8.4696,-0.45975,2.69467,4.57143,3.62511,Andar
-5.8398,-8.0558,-0.13595,2.5215,4.34959,2.94463,Andar
-6.6844,-8.0922,-0.38495,3.25014,4.98828,3.0633,Andar
-5.493,-6.23245,-0.11875,2.88982,4.1473,2.93886,Andar
-6.4219,-9.1074,-1.3482,2.63725,3.6487,2.27903,Andar
-6.18065,-10.1283,-2.84605,1.84751,3.4927,3.02846,Andar
-7.07895,-7.2513,2.60455,2.76593,4.31934,1.72685,Andar
-5.2936,-6.0063,-0.387,1.73938,4.11814,1.6947,Andar
-6.0119,-7.2973,-0.18195,2.58552,4.26953,3.39219,Andar
-7.97145,-7.4505,-0.4002,2.47895,2.35944,2.46252,Andar
-5.6749,-6.49655,1.17,2.43882,4.63894,3.00077,Andar
-6.3242,-7.48695,0.6875,2.95071,4.14308,2.73939,Andar
-6.1787,-8.43705,-0.8906,2.94938,4.83638,3.11646,Andar
-6.7725,-8.21285,0.53435,2.79765,4.75227,3.00262,Andar
-6.30905,-6.40455,-0.4253,2.80173,3.63037,2.15926,Andar
-7.88905,-5.9948,3.60625,3.5363,3.46901,1.85435,Andar
-4.29385,-3.35725,1.189,1.25274,4.05424,1.0574,Andar
-7.87195,-10.5822,-3.66765,2.57702,2.9283,2.31268,Andar
-9.05955,-9.28545,-1.7103,1.87641,3.31672,2.5021,Andar
-6.54645,-6.33775,1.5302,3.05032,4.66325,2.66629,Andar
-7.2226,-8.87945,-0.1282,2.4508,4.40686,3.10334,Andar
-6.8414,-7.32995,-0.7602,1.90729,3.24227,1.46968,Andar
-7.2206,-6.671,1.7294,3.14084,4.12414,2.6808,Andar
-6.5023,-6.9563,-0.7163,2.37867,4.40889,2.58031,Andar
-6.81845,-7.5348,-0.63005,3.0568,3.71894,1.88508,Andar
-5.9086,-4.73635,1.7925,2.5318,2.7443,1.56022,Andar
-6.3397,-5.52185,1.5512,3.28181,3.0417,1.55646,Andar
-7.38535,-7.49255,1.0361,3.08672,3.38504,2.19846,Andar
-6.71115,-5.3493,-0.02095,1.67966,0.69722,0.56654,Andar
-6.05605,-5.74765,-0.32555,2.64236,1.09879,0.69983,Andar
-5.51225,-5.4163,0.13395,2.57942,1.04078,0.49536,Andar
-8.03285,-8.4215,-1.5321,2.30464,2.53901,2.33211,Andar
-6.22465,-4.6676,1.6431,3.31481,5.02906,2.61868,Andar
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
3.76575,9.40801,0.42953,2.84218,5.05563,2.78601,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
3.76575,9.40801,0.42953,2.84218,5.05563,2.78601,SubirEscaleras
4.55568,8.86521,0.98851,2.01027,3.79359,2.1414,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
3.76575,9.40801,0.42953,2.84218,5.05563,2.78601,SubirEscaleras
4.55568,8.86521,0.98851,2.01027,3.79359,2.1414,SubirEscaleras
4.70964,8.83138,0.04854,2.82178,3.98672,2.22358,SubirEscaleras
2.26092,8.45481,1.19592,2.56583,3.64052,1.95729,BajarEscaleras
2.26092,8.45481,1.19592,2.56583,3.64052,1.95729,BajarEscaleras
2.05008,8.80049,0.70951,3.47726,3.14472,3.00953,BajarEscaleras
2.26092,8.45481,1.19592,2.56583,3.64052,1.95729,BajarEscaleras
2.05008,8.80049,0.70951,3.47726,3.14472,3.00953,BajarEscaleras
1.01891,9.05448,2.0187,2.14572,4.27468,4.07551,BajarEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
